,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
286,5,BAN INOX 170MMØX55MM 1300W 440V C/STD,1103.0,610.68
287,2,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,577.8,304.73
288,9,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",1330.68,3857.05
289,1,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0,216.65
290,4,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,4985.4
291,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8
292,10,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,3262.29
293,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
294,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
295,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3
296,3,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",1405.25,808.8
297,2,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,222.14
298,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,87.1
299,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,2380.95
300,5,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85,8334.25
301,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,719.0
302,1,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78
303,6,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",1551.2,1819.85
304,2,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,1346.28
305,1,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,1783.73
306,2,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,440.0
307,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,77.92
308,1,"TUB INOX 5/16""ØX430MM 6000W 230V",2377.0,417.45
309,10,"CAS INOX 1/2""ØX51.5CM 400W240V EXT1M SOG",839.28,2617.65
310,15,"CAS INOX 5/8""ØX72CM 2670W 480V EXT.30CM",1078.5,5266.17
311,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
312,4,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,1509.17
313,9,"TUB INOX 5/16""ØX23CM ELIPSE 985W120V BUS",970.0,1305.27
314,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
315,2,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON",1215.5,716.01
316,2,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE",1910.0,195.77
317,4,"TUB INOX 3/8""ØX38CM 6000W240V ""U"" PLACA",1520.25,2102.1
318,2,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,497.3
319,5,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,220.69
320,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
321,2,"TUB INOX 5/16""ØX56CM 5KW240V M ESP/CABLE",1410.6,563.27
322,5,BP S/BLINDAJE 94MMX102MM 250W120V 25CM C,358.0,153.86
323,2,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1608.0,1082.88
324,6,"TUB INOX 1/4""ØX29CM 160W127V RECTA/PLACA",448.6,420.72
325,1,BAN M/LUNA 208MMØX108MM 530W120V C/CINTU,710.0,112.11
326,20,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",647.1,4880.41
327,2,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,1522.13
328,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,337.0,426.19
329,2,"TUB INOX 5/16""ØX46CM 3000W240V 11/4""NPT",1953.26,1252.74
330,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",498.0,287.6
331,1,"TUB COBRE 7/16""ØX495MM U 3000W127V PLAC",2005.5,327.61
332,1,BAN M/LUNA 123MMØX107MM 600W 230V ESPECI,568.97,60.56
333,2,BAN M/LUNA 208MMØX143MM 600W110V T/TOR,850.0,349.45
334,6,"BOB DSD CAL.10 3/4""ØX1085MM 4000W127V",932.5,1805.76
335,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
336,1,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
337,1,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
338,1,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
339,1,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
340,4,BAND P INOX 175MMx90MM 300W 110V TORNILL,497.2,264.34
341,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
342,2,"PT-100 1/4""ØX12"" EXT1MT TEFLON 2 HILOS",659.48,197.3
343,6,"BAN P INOX 11/2""X17"" 800W240V ESP-1/4""",375.0,389.9
344,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,77.92
345,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.0,102.71
346,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,77.92
347,1,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5211.65
348,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
349,2,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,400.6
350,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,870.97
351,5,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA",2835.0,3102.37
352,2,"CB 3/4 X41"" DE LARGO 1300W 220 V",1247.5,752.71
353,1,"TER K 3/16""Øx7mm LONG EXT. 5 MTS T/PLICA",850.2,519.02
354,1,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.3,89.76
355,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,72.34
356,4,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3096.5,5131.02
357,2,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA",1784.0,233.93
358,1,REPARACION DE HORNO 3500W220V,7903.2,2448.37
359,3,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,3820.84
360,2,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,6978.64
361,1,"TUB INOX 5/16""ØX120CM 1250W 127V T/TOR",585.13,97.0
362,4,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",561.0,286.12
363,4,"CAS INOX 1/2""ØX3"" 400W 240V EXT.30CM",561.0,353.34
364,3,TK 6MMØX80CM EXT.50CM DOBLEZ 90° 4 HILOS,710.0,686.66
365,1,BAN M/L COMUN 137mmØx82mm 800W 220V,579.66,50.94
366,1,"BAN P COMUN 1""X48"" 1000W 240V EXT.30CM",800.0,45.28
367,3,RES EN CINTA NICRO4.0X0.101-2.8OHMS LAMI,395.0,14.76
368,6,BOE 45MMØX1360MM 3500W440V ROCHETA,3040.48,6822.37
369,10,BOE 45MMØX900MM 3500W440V ROCHETA,2366.63,6981.76
370,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,691.68,211.36
371,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.33,410.21
372,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.0,38.96
373,2,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,3120.88
374,25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,2215.69
375,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,142.5
376,2,"TEA K Ø3/4""X450MM NPT3/4"" CAB M STD",1850.0,1420.68
377,1,REPARACION DE TUBO DE CUARZO 500W127V,636.21,102.22
378,3,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM",918.0,1506.97
379,8,"BAN COMUN  5""ØX6"" 1800W 240V  C/ALLEN",525.0,779.66
380,2,"BAN COMUN 5""ØX4"" 1500W 240V C/ALLEN",495.0,344.57
381,2,BAN COMUN 178MMØX71MM ANCHO 1300W 240V,354.5,310.03
382,1,BAN COMUN 296MMØX71MM 2500W240V C/STD,354.5,177.36
383,3,"BAN P INOX 11/2""x85"" LONG 2200W 220V 9BA",2198.58,649.37
384,4,"BAN P INOX 1 1/2"" x50"" LONG 1200W 220V",1260.48,854.65
385,2,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,75.32
386,2,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,89.08
387,2,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,96.18
388,2,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,102.18
389,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,72.37
390,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
391,1,"TUB INOX 5/16""ØX45CM 750W 120V ""U"" T/TOR",527.59,64.91
392,1,"TUB INOX 3/8""ØX120CM 2083W 220V ""U"" TORN",1205.0,258.43
393,1,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",704.5,173.0
394,18,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,12855.68
395,2,TUB INOX 8MMØX3650MM 1134W 230V RECTA,778.17,782.48
396,1,"TUB INOX 5/16""ØX120MM 1200W220V ""J"" PLAC",907.5,116.73
397,3,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",165.0,145.47
398,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,410.21
399,1,"TUB COBRE 5/16""Øx145CM  1500W120V PLAC",1551.72,316.4
400,1,"MAQUINADO DE PERNO 9/32""ØX20MM LATON",538.79,6.69
401,1,REPARACION DE CREPERA-FAB CAJA DE CONEXI,387.93,24.0
402,1,REPARACION DE CREPERA,1020.0,258.21
403,60,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,20448.01
404,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",445.0,220.0
405,12,"TUB INOX. ALETA 7/16""Øx693mm 2000W 440 B",1513.0,5369.65
406,12,"TUB INOX 5/16""Øx64CMS 700W220V.",500.5,323.44
407,1,"TUB INOX 5/16""ØX25CM 1650W220V M ESP/BUS",1056.03,244.91
408,6,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.5,533.7
409,6,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",646.6,547.28
410,25,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,9152.38
411,1,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,736.48
412,10,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,3567.53
413,3,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,2373.3
414,18,TIRA INOX 38MMX1012MM 2000W 240V T/TIPOH,620.0,4249.74
415,2,"TUB INOX. 5/16""Øx330mm U 6KW 440V PLACA",1899.85,1034.72
416,4,"TUB INOX 1/4""ØX355MM 4500W230V ES PLA-NV",2458.45,1221.53
417,1,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,1306.63
418,3,"TUB INOX 3/8""Øx810mm LONG RECTA 500W220V",657.5,266.21
419,1,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18,1516.24
420,2,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7137.0,5870.53
421,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,137.48
422,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.09,42.79
423,1,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 1-IZQ",633.6,112.24
424,1,"BAN P INOX 10 1/4""X4 1/2"" 350W 127V T-TO",564.71,111.07
425,1,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 3-DER",633.6,112.24
426,1,"BAN P INOX 9 1/4""X4 1/4"" 350W127V 2/TOR",498.65,59.54
427,1,"BAN P INOX 10""X 4 1/2"" 350W127V 1-IZQ",616.0,110.37
428,1,"BAN P INOX 10""X4 1/2"" 350W127V 3-DER",598.0,110.37
429,1,REPARACION PISTOLA DE CALOR 1680W 120V,862.0,90.16
430,3,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,319.57
431,4,"TUB RECTA 1/2øX800mm 950W 140V""",705.5,633.46
432,1,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,359.16
433,4,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,1509.17
434,1,"TUB INOX 7/16""ØX35CM 1500W127V ""M"" ESP",1105.6,165.15
435,2,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ",2400.0,720.65
436,2,REPARACION DE TERMOPAR,1500.0,0.72
437,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
438,4,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,646.92
439,2,"BAN A COMUN 133MMØx11/2"" 900W 220V C/STD",405.2,94.49
440,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.76,113.59
441,5,"TUB INOX 5/16""x625mm 950W 220V U",625.7,459.5
442,3,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,295.92
443,1,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,51.36
444,25,"TUB INOX 1/4""ØX62"" 950W 230V",204.08,5083.38
445,4,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA,1853.25,4563.71
446,5,"PT-100 3/16""ØX1"" EXT.1MT T/PLICA CLAV-3H",599.0,1257.53
447,4,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,735.34
448,2,"TUB INOX 7/16""ØX26CM 1500W220V U 11/2""NP",1991.06,1511.46
449,1,CAS INOX 10MMØX60MM 500W 240V EXT30CM,535.12,70.86
450,2,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",3929.11,3660.03
451,1,"FAB DE TERMOPOZO 1/2""ØX768MMLOGITUD",188.0,94.84
452,1,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",650.0,321.87
453,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,288.8
454,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
455,3,"TUB COBRE7/16Øx590mm ""U"" 5000W 220V C/B""",1063.83,1229.62
456,1,TER J 6mmØx30mm 7 MTS DE LONG.,908.0,204.07
457,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49
458,1,"TUB INOX 7/16""ØX47CM 9000W220V PLAC",2325.0,722.38
459,2,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,497.3
460,2,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",1005.0,775.73
461,1,"TER J 1/4""ØX15CM CON 1/2""-1/2"" C/MARINA",1005.0,404.78
462,1,"TUB INOX 7/16""Øx80.5CMS U 12KW 240V TAPO",2849.5,1125.85
463,1,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.09,432.3
464,10,"PT-100 1/4""ØX1/2"" EXT.5MT BOY-2G 3 HILOS",900.69,3965.36
465,1,"TUB INOX 5/16""ØX70CM 600W 127V RECTA",527.0,48.21
466,9,TUB ALETADA Ø 1/2 X 13 1/2 2000 W 220 V,1241.0,2869.44
467,1,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA",1120.69,133.09
468,6,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",780.0,963.82
469,1,"TER J 1/4""ØX5"" CON 1/2""-1/2""NPT C/MARINA",867.03,403.47
470,1,"TUB INOX 5/16""ØX177MMØ 1900W220V PAR 9O°",940.0,148.76
471,1,"TUB INOX 5/16""ØX177MMØ 1900W220V PARRILL",940.0,148.76
472,25,"TUB INOX 1/4""ØX27"" 300W 230V",164.14,2779.23
473,1,REPARACION DE SECADOR 460W 120V,907.0,7.6
474,1,REPARACION BANDA S/BLINDAJE 1068W 120V,659.6,107.68
475,3,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,1943.52
476,4,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,202.16
477,4,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1974.74
478,1,"RC 1/2""ØX40CM 650W127V T/TORNILLO",760.25,123.23
479,1,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",23995.24,4045.07
480,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,2428.6
481,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,135.14
482,1,"TUB INOX 7/16""ØX307MMX50MM 800W220V BUSH",1035.0,223.66
483,2,BN INOX 46MMØX122MM 600W220V EXT30CM ALL,612.0,367.86
484,5,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,1667.21
485,2,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",1529.69,1685.48
486,6,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",703.45,1305.87
487,1,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0,797.54
488,3,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,3959.26
489,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,110.0,42.79
490,3,CAM INOX 10MMØX50MM 250W 240V EXT30CM,435.97,201.92
491,2,CAM INOX 10MMØX50MM 300W 240V EXT30CM,491.03,134.42
492,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,180.0,172.46
493,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49
494,1,BAN M/LUNA 208MMØX257MM 1350W127V EXT30,676.72,213.87
495,1,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",1000.0,48.85
496,3,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",1000.0,146.54
497,10,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",695.2,461.36
498,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
499,20,"TUB INOX 1/4""ØX90"" 1350W 230V",243.82,4218.97
500,1,"CAS INOX 1/4""ØX2 1/2"" 200W 127V EXT30CM",468.1,28.9
501,2,"PT-100 3/16""ØX4"" CON1/2""-1/2"" NPT EXT5MT",1395.35,1342.97
502,3,"TUB INOX ALETADA 1/2""Øx30CMS 1000W 480V",1037.1,747.21
503,18,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,12855.68
504,6,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",780.0,963.82
505,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,250.0,723.67
506,4,BOB 8020 CAL.22 2.8MMØX2.3MTS 1800W 240V,1274.14,796.86
507,2,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",1529.69,1685.48
508,2,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",805.0,286.18
509,1,"TUB INOX 7/16""ØX150MM 600W120V M PLAQ",812.0,148.02
510,1,"TUB INOX 1/4""ØX50CM 500W127V RECTA T/BAN",587.0,38.92
511,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,102.71
512,2,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,1035.28
513,1,FAB RESISTENCIAS 11520W 480V EN BASE GAL,7402.72,921.37
514,2,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,5870.53
515,5,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,382.32
516,1,"TUB INOX. 5/16""Øx320mm 750W, 120V. U",622.0,36.0
517,1,"TUB INOX 5/16""ØX43CM1850W240V ""M ESP/TOR",1208.25,67.21
518,3,TIRA ALETADA 38MMX760MM 1960W230V T/TOR,2600.0,1529.93
519,5,"TUB INOX 3/8""ØX395MM CIR/ALETA 8500W230V",6300.0,3472.99
520,2,"TUB INOX 1/2""ØX246MM 3000W480V ""M"" BUSH",985.0,485.55
521,1,"TUB INOX 7/16""ØX40.5CM 15KW240V PLA/ESP",3837.4,722.34
522,5,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,978.6,2592.94
523,2,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,7248.18
524,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",420.69,144.4
525,1,BAN P INOX 258MMX385MM 3000W220V EXT3MT,1756.0,841.63
526,1,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71,567.27
527,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4
528,2,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",398.0,101.08
529,12,"CAE INOX 5/8""ØX73CM 2400W 240V RON/EXT1M",1022.0,3998.41
530,2,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA""",2497.0,1009.05
531,7,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz",976.0,2619.0
532,4,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,3409.48
533,35,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,11742.95
534,10,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,7911.01
535,1,"TUB INOX 1/2""ØX20""Ø 7000W240V ESPIRAL/BU",3395.0,928.07
536,10,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM",488.62,618.84
537,2,BB INOX 40MMØX80MM 400W 240V EXT.30CM,366.0,85.97
538,2,"TER T 3/16""ØX1 1/2"" EXT 1M TEFON/MALLA",276.91,22.03
539,6,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,460.41
540,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
541,1,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,427.0,33.79
542,2,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,225.28
543,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,722.0
544,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
545,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",893.0,72.34
546,17,"TUB INOX 1/4""ØX90"" 1350W 230V",244.02,3586.12
547,4,"TUB U"" 7/16 Ø X50 CM 10 KW 440 V DELTA""",2895.47,4673.63
548,4,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,4193.61
549,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.12,42.79
550,6,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,1915.76
551,2,BAN A/COMUN 165MMØX60MM 800W 254/440V,623.2,291.71
552,10,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",330.85,986.31
553,1,"TUB INOX 3/8""ØX235MM 3300W 230V CLIP/PLA",2044.2,406.12
554,1,BAN P COMUN 45MMX390MM 1200W240V B/CERAM,648.3,97.53
555,1,REPARACION TERMINALES BANDA 1500W 220V,419.0,10.7
556,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",225.0,98.63
557,1,"RC 1/2""ØX38.5CM 600W 120V T/TORNILLO CER",734.5,136.98
558,2,FABRICACION DE CRISOL 500W 127V 50-60HZ,13800.0,4455.7
559,2,"TUB INOX 1/2""ØX25CM 1500W 127V ""M"" C/BUS",1158.19,610.62
560,15,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,1363.68
561,1,REPARACION PORTA MATRAZ 1035W 115V,634.5,42.35
562,4,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,427.0,135.17
563,1,REPARACIÓN DE SELLADORA 30CM 146W 120V,301.07,3.8
564,1,"TUB INOX 7/16""ØX268MM 4KW270V 4 CLIP/PLA",1306.03,344.32
565,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,2637.36
566,6,"RC 1/2""Ø X 34"" LONG 1000W 12OV TE/GANCHO",1450.0,1344.78
567,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.95,200.3
568,5,"FAB  DE TERMOPOZO 1/4""ØX22CM EN PLACA",410.0,565.29
569,1,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2200.0,773.91
570,5,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,978.6,2389.27
571,5,TEA J 6MMØX30MM EXT.2MT RESOR/BOY2G/CLAV,732.0,681.25
