,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
572,1,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.25,62.82
573,1,"CAS INOX 1/2""ØX2"" 400W 240V EXT.1MT",663.88,101.4
574,1,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2,483.67
575,6,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",703.45,1305.87
576,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",488.0,722.0
577,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,125.64
578,10,"TER J 3/16""ØX45MM LONG EXT.1MTLONG MALLA",994.0,461.74
579,5,"TER K 3/16""ØX1"" EXT.7MTS MALLA  Z/ESPADA",551.25,1434.11
580,2,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0,1595.08
581,2,BB INOX 40MMØX51MM 300W 240V EXT.30CM,475.0,73.04
582,1,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,701.72
583,4,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",375.0,352.13
584,1,REPARACION DE HORNO 7000W 220V,6273.0,1368.31
585,1,"TUB INOX 7/16""ØX30CM 300W127V RECTA/CERA",532.76,33.75
586,1,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
587,2,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",689.63,454.37
588,1,REPARACION EQUIPO COCINA 5000W 22OV,13776.88,5301.49
589,2,"CAS INOX 5/8""ØX7"" 500W220V EXT.1MT MALLA",933.85,344.27
590,2,"TER J OJILLO 3/16""Ø EXT1.5MTS MALLA/RESO",335.0,116.73
591,1,"TIRA P INOX 8 7/8""ØX11/2"" 1950W240V ALET",1944.0,330.09
592,1,"TIRA P INOX 12 1/2""ØX11/2"" 3100W240V ALE",2133.25,453.27
593,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0,253.0
594,1,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1261.99
595,1,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1261.99
596,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,2135.98
597,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,2261.08
598,3,"TUB INOX 1/2""Øx90CMS U 25KW 440V TAPON 2",4580.0,6183.72
599,1,REAPARACION DE HORNO 1800W 120V,2325.34,518.74
600,1,"TUB INOX 5/16""ØX15CMØ 1200W127V PARR/90°",564.1,60.64
601,4,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,2742.7
602,1,"TUB INOX 1/4""ØX455MM 1560W127V M ES/PLAC",1451.65,295.91
603,2,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",572.0,412.22
604,2,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",812.0,726.18
605,2,PT-100 6MMØX110MM EXT15MTS TEFLON/ZAP,1548.0,1199.64
606,8,"PT-100 DE Ø 3/16 X4"" DE LONG. 80 CM",622.0,671.87
607,5,"TUB INOX 7/16""Øx500mm U 3000W 220V BU5/8",986.0,1183.69
608,8,"TUB INOX 5/16""ØX142MM ""J"" 1000W120V SAND",1133.0,2239.06
609,2,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,331.9
610,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,150.86,128.38
611,1,REPARACION HORNO 1500W 120V,474.14,4434.97
612,4,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,3224.57
613,1,"TUB INOX 3/8""ØX186.5CM ""U"" 3000W220V CAP",1526.77,324.05
614,6,"TUB INOX 7/16""ØX498MM 3000W220V M ESP/PL",1088.0,1141.51
615,60,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,1296.0,14643.92
616,1,"TUB INOX 3/8""ØX775MM 850W 120V RECTA TOR",689.0,170.19
617,20,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",578.0,3634.36
618,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,253.0
619,15,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,1516.01
620,8,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,909.55
621,6,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,692.44
622,1,FABRICACION TUB  J INOX 2000W 127V C/TE,1139.88,168.7
623,10,"CART INOX 1/2""Øx16CMS 700W 120V CABLE 50",790.0,1174.89
624,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,210.0,155.15
625,28,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,9392.95
626,1,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT",617.2,149.98
627,2,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,444.0
628,2,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,61.3
629,3,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,91.95
630,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,97.49
631,2,"CAS INOX 5/8""ØX3 1/2"" 300W 127V EXT30CM",592.5,229.29
632,3,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",642.0,965.61
633,2,BAN P INOX 80MMØX255MM 450W 220V T/TOR,994.4,208.8
634,2,"CART INOX 1/2""Øx3"" 250W 230V CABLE STD",632.5,130.94
635,6,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,1725.78
636,4,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V",1130.5,1885.91
637,2,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM,840.0,320.04
638,4,"TUB INOX 5/16""ØX25CM 1000W127V 1""NPTCAJA",1842.5,2840.53
639,2,"TUB INOX 5/16""ØX25CM 250OW127V 1""NPTCAJA",1914.5,1472.41
640,10,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG""",1239.3,2446.31
641,8,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC",1047.0,1707.07
642,5,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL",965.0,1068.83
643,2,"TER K 1/4""ØX3/4"" TORNILLO/LOCO EXT.80CM",516.0,124.56
644,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,453.24,171.87
645,5,TUBULAR 11mmØx850mm 6kW 500V 6pz,7612.73,9760.13
646,16,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,4735.23
647,6,CAS INOX 12MMØX230MM 950W440V EXT.30CM,910.0,374.39
648,1,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA",1140.86,407.85
649,4,"AK DOBLE 3/16""ØX530MM PLACA-CER4POLOS",750.0,467.13
650,2,"TUB INOX 5/16""ØX23CM 500W127V CLIP 11/4""",2105.3,1696.61
651,1,"CBE INOX 1/2""ØX120MM 110W115V EX50CM CON",775.6,208.61
652,2,TER J 4MMØX65MM EXT1M MALLA INOX TRAN6MM,400.64,119.54
653,2,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,400.6
654,36,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,9577.26
655,1,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0,3900.52
656,2,BAN A/COMUN 165MMØX89MM 1200W440V C/STD,644.0,159.57
657,2,BAN A/COMUN 258MMØX35MM 1000W440V T/TOR,570.8,167.44
658,1,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
659,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",425.0,253.0
660,1,REPARACION DE TERMINAL DE RESISTENCIA,563.5,55.83
661,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0,253.0
662,12,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,3994.81
663,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
664,1,REPARACION DE P/SERIGRAFIA  1800W 110V,739.66,7.6
665,10,"CAS INOX 5/8""ØX10"" 1200W 240V EXT1MT",936.45,2062.24
666,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,11343.64
667,1,"TUB INOX 7/16""ØX36CM 6000W 240V PLAC/CUE",3668.0,602.39
668,2,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,136.67
669,4,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,542.76
670,4,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,219.2
671,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3.5 MT,301.5,1728.0
672,1,REPARACION HORNO 15KW 440V TOTAL,32582.18,199335.56
673,2,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°",564.1,95.4
674,2,"TER J 1/4""ØX12"" CAB/MAR TERM-3/4""NPT",2218.0,1435.32
675,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
676,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,42.79
677,1,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71,562.77
678,2,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2,967.34
679,4,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,699.77
680,3,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",642.0,965.61
681,6,BOB DSD CAL.12 17.7MMØX55CM  5.2 OHMS,1545.0,539.86
682,1,"TUB INOX 7/16""ØX50CM 18KW220V ""J"" ESP/PL",3026.6,752.71
683,3,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,333.2
684,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,253.0
685,2,BOB 8020 CAL.26 5MMØX70CM 30W 127V GAZA,655.0,14.4
686,10,BOB 8020 5.5MMØX750MM 1500W115V GAZ40,504.5,432.37
687,12,CBS INOX 8MMØX265MM 500W 220V EXT.1MT,596.6,1443.18
688,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",510.0,135.69
689,20,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,7105.79
690,2,TUBULAR 11mmØx450mm 4500W 480V 6pz,3730.0,2930.59
691,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",245.0,92.33
692,1,"TUB INOX 5/16""ØX32CM 1250W 127V ""M"" BUSH",1410.0,227.74
693,2,"CAS INOX 3/4""ØX12"" 4000W 260V EXT12"" FV",828.97,131.25
694,2,"CAS INOX 3/4""ØX24"" 2700W 220V EXT.12"" FV",1049.3,1309.94
695,2,"CAS INOX 3/4""ØX85MM 500W 240V EXT.12"" FV",631.84,47.53
696,2,"CAS INOX 3/4""ØX260CM 2000W260V EXT.12""FV",800.19,135.37
697,5,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,181.0,314.09
698,5,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,225.0,387.87
699,1,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,668.43
700,4,"TER K 5/16""ØX10"" CON1/2""-1/2"" EXT10M C/M",1600.0,3340.17
701,6,"TER K 3/16""ØX10CM 1/2""X22CM 1/2""NPT/MAR",1073.0,2289.82
702,6,"TUB INOX 5/8""ØX83.5CM 1050W136V T/TORN",996.0,1542.56
703,2,"CAS INOX 3/8""ØX8 1/2"" 500W 110V EXT.40CM",557.5,395.26
704,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",192.0,48.49
705,2,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,109.6
706,2,BAN A/COMUN 117MMØX100MM 1250W240V C/STD,753.04,172.35
707,6,"TUB INOX 3/8""ØX102CM 2000W400V ""M"" BUSH",1550.0,3776.75
708,6,"TUB INOX 3/8""ØX107CM 2000W400V ""M"" BUSH",1500.0,3574.62
709,1,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°",564.1,48.03
710,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,521.04,205.2
711,4,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,542.76
712,4,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,219.2
713,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,155.0,232.72
714,4,CAM INOX 10MMØX10CM 300W 127V EXT.30CM,539.6,311.18
715,2,"TUB INOX 7/16""ØX335MM 1800W 440V ""M"" BUS",1380.0,493.38
716,15,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",330.8,1383.54
717,2,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,85.29
718,2,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,310.77
719,2,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,160.18
720,1,"TUB INOX 3/8""ØX175MM 350W220V ""U"" BUSH",735.65,177.85
721,2,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1""",608.75,662.65
722,30,PRE-SEPARADOR CINTA 7.8 OHMSX 3MT LONG,810.0,1170.9
723,4,BOB 8020 CAL.17 19MMØX355MM LON 21KW240V,788.48,3192.33
724,1,FAB BOB 8020 CAL.17 7000W 240V M/BAST,2818.4,670.74
725,1,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.43,111.07
726,6,"TUB INOX 5/8""ØX485MM 750W 254V RECTA/ALE",1030.0,1416.34
727,4,"CAS INOX 1/4""ØX2 1/2"" 125W 127V EXT30CM",457.82,128.97
728,2,TEA K ELEMENTO 12CMX EXT.40CM CERAMICO,1470.0,174.08
729,2,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,2145.86
730,10,"PT-100 2MMX1"" DESNUDO EXT.113CM SOGUILLA",375.0,1441.92
731,3,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",375.0,367.04
732,10,"TER T 3/16""ØX47MM EXT 3MT CON/SOG/CLAV",796.25,2360.31
733,10,"TER T 3/16""ØX82MM EXT 3MT CON/SOG/CLAV",850.5,2378.73
734,2,AK 1MMØX15CM EXT1MT MALLA CLA/MACHO,635.0,153.36
735,1,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",702.59,227.18
736,1,"PT-100 1/4""ØX15CM CON1/2""-1/2""NPT EXT30C",1265.0,521.59
737,2,"BAN INOX 4""ØX4"" 500W230V T/TOR C/ALLEN",675.0,348.32
738,2,BAN INOX 41MMØX203MM 1000W220V C/STD,696.0,183.26
739,9,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM",488.62,556.96
740,6,"TER J 3/16""x6"" LONG EXT 1.5 MTS PLICA",710.0,1029.98
741,3,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,3820.84
742,2,"TUB INOX. 7/16""Øx700mm U 10KW 440V U TAP",2665.0,2608.29
743,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,435.72,97.49
744,1,BAN P COMUN 45MMX390MM 1200W240V B/CERAM,648.3,97.53
745,1,REPARACION TERMINALES BANDA 1500W 220V,419.0,10.7
746,100,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V,369.5,1813.59
747,5,BOBINA BASTIDOR 12mmØx410mm 12kW440V 3pz,4500.88,2573.85
748,4,"TUB INOX. 5/16""Øx625mm 1200W, 220V. U",625.7,456.18
749,5,"TUB INOX 5/16""x625mm 950W 220V U",625.7,503.4
750,6,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,591.85
751,2,P.CUARZO 10CMX20CM 1600W440V EXT30CM TK,1518.0,1092.06
752,1,P.CUARZO 10CMX50CM 4000W440V EXT30CM TK,2776.65,1220.15
753,1,"TUB INOX 1/4""ØX40CM 6000W230V ""U"" PLACA",2008.0,473.55
754,6,"TER T 3/16""ØX11/2"" EXT.3MT PUNTA OJILLO",587.0,912.43
755,4,"PT-100 3/8""ØX35MM EXT.1.5MT CON-1/2""NPT",780.5,921.15
756,1,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,345.97
757,1,"TUB INOX 7/16""ØX690MM 1000W 127V ""U"" BUS",1112.0,322.13
758,4,"TUB INOX 1/4""Øx297mm 1750W 220V ESP BUSH",1254.2,771.72
759,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,54.8
760,3,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,423.89
761,3,"TUB INOX 5/16""ØX325MM 1700W 240V ""M"" BUS",921.37,557.42
762,1,"TUBU"" 5/16""Øx280mm 600W 127V C/PLACA""",518.97,123.23
763,7,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,5411.87
764,1,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,665.36
765,2,BAN INOX 130MMØX60MM 800W 220V/380V,523.85,552.36
766,2,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,1850.42
767,1,BAN M/LUNA INOX 205mmx143mm. 1200W 120V,727.58,136.58
768,1,"TER J 3/16""ØX4"" EXT.2MT MALLA/RES/ZAP",343.0,82.32
769,3,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz",976.0,1216.06
770,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,260.2
771,1,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,345.97
772,2,BAN M/LUNA 100MMØX41MM 200W240V C/STD,404.65,55.57
773,2,BAN M/LUNA 270MMX42MM 900W 240V C/STD,648.5,130.51
774,2,BAN P COMUN 62MMX140MMX200M 900W240V ORI,648.5,128.69
775,2,BAN P COMUN 62MMX140MMX200M 900W240V STD,693.35,128.69
776,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,576.03,210.24
777,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,657.12,265.64
778,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,499.7,205.2
779,1,BP S/BLINDAJE 160MMX160MM 900W127V EXT3O,659.6,76.36
780,10,ABRAZADERA INOX PARA AJUSTE 2 pz c/u,123.0,150.32
781,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,2660.93
782,15,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,1995.7
783,1,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1357.1
784,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,2261.08
785,6,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,1773.52
786,1,"FAB TERMOPOZO 6MMØX85MM CON 1/2""NPT",1074.04,185.06
787,4,"TER J OJILLO 1/4""Ø EXT 5MT MALLA/RES/ZAP",788.88,170.5
788,1,"PT-100 3/16""ØX1 1/2"" EXT.7MT TEFLON 2HIL",727.31,297.42
789,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",624.27,54.8
790,1,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",572.0,206.11
791,6,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",812.0,2178.55
792,1,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,671.28
793,2,BS/BLINDAJE 168MMXLADO 700W127V F/OCTAGO,660.0,133.98
794,2,BAN A/COMUN 345MMØX71MM 2000W 440V STD,1186.17,345.06
795,3,BAN P COMUN 30MMX114CM 1500W110V T/TORNI,675.0,608.14
796,5,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,808.65
797,8,"TUB INOX ALETA 5/16""ØX600MM U 2KW254V BU",1666.18,5407.95
798,1,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH",1165.95,345.97
799,54,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT,607.1,7098.51
800,27,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT,611.51,3719.48
801,3,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT,753.42,611.06
802,3,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT,535.48,379.36
803,3,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",572.5,433.2
804,1,"PT-100 1/4""ØX215MM EXT1.5MT CON7/16""FINO",794.0,323.11
805,1,"TUB INOX 3/8""ØX210MM 1500W 240V CIRC/90°",941.0,165.65
806,4,BAN P INOX 80MMX250MM 400W 220V T/TOR,636.3,440.58
807,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,400.0,171.87
808,2,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,5099.14
809,3,"TER J 1/8""ØX120MM EXT2MT MALLA/TRAN5/16""",798.0,469.01
810,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,139.0,42.79
811,3,"CBS INOX 1/2""ØX8"" 350W 110V ESC EXT30CM",786.7,450.49
812,4,"PT-1000 1/4""ØX2"" EXT. 1MT DE PVC 2 HILOS",2105.0,1020.51
813,5,"AEROPACK J 1/8""ØX88MM EXT3MT CON1/8""NPT",652.0,1081.24
814,4,"TUB INOX 5/6""ØX30CM 1800W220V ""J"" ESP/CO",968.5,781.73
815,2,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,2779.2
816,10,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",810.0,2575.95
817,11,"TUB INOX 5/16""x2580mm M 1800W 220V BUSHI",1552.5,4233.54
818,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",348.0,54.8
819,1,REAPARACION PLANCHA SERIGRAFIA 1.8KW120V,3120.0,1195.0
820,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,315.0,97.49
821,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,343.73
822,1,"TUB INOX 5/16""ØX215MM 1500W 240V U 1""NPT",1127.0,316.45
823,1,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,1306.63
824,4,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,620.99
825,4,CARTUCHO Ø 8MM X 520 MM 500 W 220 V,541.25,528.65
826,4,CBE INOX 10MMØX460MM 300W 48V EXT30CM,1365.0,812.15
827,4,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,488.72
828,1,REPARACION CARTUCHO 27MMØX2150MM 2KW440V,3200.0,649.31
829,2,REPARACION CARTUCHO 27MMØX1800MM 2KW440V,3200.0,1180.41
830,1,REPARACION CARTUCHO 27MMØX1697MM 2KW440V,3200.0,595.74
831,1,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,585.92
832,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,12894.24
833,3,"TEA K 1/2""Øx1800mm CON1/2-1/2 C/MARINA",4250.0,2365.62
834,1,PT-100 4mmx100mm EXT 2 MTS DOBLEZ A 45°,846.2,244.91
835,2,"CAS INOX 3/8""ØX5 1/2"" 250W240V EX1.5M PL",1050.69,541.35
836,2,"TUB INOX 5/16""ØX205MM 1500W240V ESPIR/BU",2132.55,461.4
837,4,P.CUARZO 98MMX340MM 1600W110V EXT11CM TK,3650.0,3161.13
838,4,P.CUARZO 98MMX340MM 1600W110V EXT. 11CM,3250.0,3014.83
839,5,P.CUARZO 10CMX25.5CM 1000W240V EX40CM TK,2550.0,3515.54
840,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,155.0,135.14
841,21,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",916.36,5553.86
842,1,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",25258.15,5169.85
843,4,"TUB INOX 7/16""ØX490MM U ESP 3200W 220V",961.45,1298.83
844,1,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.2,89.76
845,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,72.34
846,1,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.2,89.76
847,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,72.34
848,6,"TER J 3/16""ØX1"" EXT7MT MALLA Z/INOX",686.0,1417.21
849,2,"BOQUILLA 2X2""  350W 240V""",462.0,440.0
850,2,"TUB INOX 1/2""X66CM 4500W 480V 2 1/2"" 3PZ",4188.63,3863.23
851,1,REPARACION DE BATIDOR 16.6KW 440V,14000.0,277.5
852,12,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,3995.98
853,10,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",810.0,2575.95
854,1,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ",3521.6,1225.86
855,10,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,923.31
856,4,"PT-100 3/8""ØX4"" EXT.1.5MT CON-1/4""NPT",1205.0,1131.63
